PO_ID,PO_Line_Item_ID,Order_Creation_DateTime,Acknowledgement_DateTime,Order_Quantity,Order_Volume,Order_Weight,Priority_Flag,Fulfiller_ID,Routing_Lane_ID,Fulfiller_Throughput,Fulfiller_Calendar,Total_Backlog_Ack,Current_Backlog,Relative_Queue_Position,Estimated_Processing_Rate,Days_in_Queue,Day_of_Week,Day_of_Month,Peak_Season,Demand_Surge,Recent_Shipments,Lead_Time_Trend,Lead_Time,Month,Season,On_Time_Performance,Product_Category,Geography,Carrier,Expected_Ship_Date,P50_Confidence,P90_Confidence,Reasoning_Context,Probability_On_Time,On_Time_Performance_Metric,EDD_Accuracy,P50_Calibration,P90_Calibration,Fill_Rate,Lead_Time_Stability,Vendor_Accuracy_Score
PO00000,L00000,2023-11-24 03:01:00,2023-11-26 09:01:00,103,3.77,10.26,Standard,F182,C10-G4,300,1,2723,2630,84,9.076666667,0,4,24,1,0,216,1.07,14,11,Spring,0.96,PC10,Region3,USPS,2023-12-10 09:01:00,14,15,Based on backlog and throughput,0.94,0.89,1,0.7,0.83,0.95,0.9,73
PO00001,L00001,2023-05-21 07:14:00,2023-05-24 19:14:00,436,2.03,24.22,Standard,F148,C4-G3,325,1,554,359,29,1.704615385,8,6,21,1,1,244,0.89,5,5,Spring,0.91,PC1,Region5,UPS,2023-05-29 19:14:00,5,6,Based on backlog and throughput,0.85,0.93,0.94,0.88,0.94,0.9,0.93,89
PO00002,L00002,2023-03-13 23:06:00,2023-03-15 11:06:00,349,4.16,10.13,Standard,F151,C8-G4,99,0,4484,4288,92,45.29292929,2,0,13,1,1,335,1.16,1,3,Winter,0.99,PC9,Region4,DHL,2023-03-16 11:06:00,1,2,Based on backlog and throughput,0.86,0.85,0.96,0.7,0.91,1,0.81,79
PO00003,L00003,2023-12-13 23:57:00,2023-12-15 09:57:00,271,2.89,8.73,Standard,F130,C10-G1,407,1,4725,4597,8,11.60933661,13,2,13,0,0,190,0.87,9,12,Fall,0.97,PC2,Region4,FedEx,2023-12-24 09:57:00,9,11,Based on backlog and throughput,0.89,0.88,0.95,0.82,0.91,0.97,0.9,94
PO00004,L00004,2023-10-07 02:37:00,2023-10-07 10:37:00,107,0.41,31.06,2-day,F110,C8-G1,265,1,2376,2286,88,8.966037736,4,5,7,1,0,297,0.89,11,10,Winter,0.95,PC1,Region4,UPS,2023-10-18 10:37:00,11,13,Based on backlog and throughput,0.83,0.93,0.99,0.89,0.92,0.95,0.84,98
PO00005,L00005,2023-08-05 01:01:00,2023-08-08 09:01:00,72,0.28,26.39,Standard,F158,C5-G1,443,1,695,604,3,1.568848758,6,5,5,1,0,319,0.91,9,8,Winter,0.97,PC9,Region3,DHL,2023-08-17 09:01:00,9,10,Based on backlog and throughput,0.73,0.9,0.96,0.75,0.85,0.93,0.86,91
PO00006,L00006,2023-02-17 06:14:00,2023-02-19 07:14:00,189,0.76,33.67,Standard,F156,C7-G2,465,1,3974,3912,89,8.546236559,14,4,17,1,0,181,0.92,8,2,Fall,0.94,PC2,Region5,USPS,2023-02-27 07:14:00,8,9,Based on backlog and throughput,0.73,0.98,0.99,0.75,0.92,0.97,0.93,89
PO00007,L00007,2023-09-16 19:01:00,2023-09-16 19:01:00,21,0.17,46.52,Standard,F173,C4-G3,101,1,4630,4602,19,45.84158416,6,5,16,0,1,333,1.01,5,9,Winter,0.97,PC9,Region4,USPS,2023-09-21 19:01:00,5,6,Based on backlog and throughput,0.92,0.94,0.89,0.7,0.95,0.94,0.87,85
PO00008,L00008,2023-10-15 06:45:00,2023-10-16 15:45:00,103,0.47,26.85,Standard,F157,C7-G3,320,1,4597,4586,97,14.365625,2,6,15,1,0,382,1.09,14,10,Fall,0.89,PC7,Region5,USPS,2023-10-30 15:45:00,14,15,Based on backlog and throughput,0.76,0.91,0.99,0.71,0.9,0.97,0.85,98
PO00009,L00009,2023-11-29 22:34:00,2023-12-01 00:34:00,122,3.49,29.26,2-day,F111,C9-G5,133,1,2769,2693,66,20.81954887,14,2,29,0,0,204,1.17,3,11,Fall,0.86,PC7,Region1,DHL,2023-12-04 00:34:00,3,5,Based on backlog and throughput,0.71,0.97,0.93,0.71,0.86,0.97,0.82,86
